,Unit,Jenis_Alat,Type/Merk,Horse_Power,Capacity,Lokasi,Total_Pengisian_BBM,Total_Jam_Kerja
3,B 9157 ZJ,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,4507
4,B 9220 BL,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,4248
5,B 9224 BL,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,3908
8,B 9493 JA,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,4463
9,B 9494 JA,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,4727
10,B 9566 ZB,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,4489
11,B 9628 ZJ,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,4948
12,B 9974 KJ,TRAILER,PKC311,311,40 Feet,DEPO MARUNDA,0,4420
13,B 9976 KJ,TRAILER,PKC311,311,40 Feet,DEPO MARUNDA,0,4792
25,CRANE P&H 127 T/KOMODO,CRANE,SHORE CRANE,330,127 Ton,BERAU,0,0
37,JATI,FORKLIFT,TOYOTA,50,4 Ton,BKA,0,1072.2999999999997
77,L 8007 UR / S73,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,3665
78,L 8016 UR,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,2613
80,L 8039 US / S74,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,3600
82,L 8050 US / S79,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,3923
83,L 8058 US / S78,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,3795
85,L 8085 SK ( EX L 7287 TF ),TRONTON,CD12,185,40 Feet,TUAL,0,28
86,L 8115 US / S76,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,3227
87,L 8153 UO EX.L 9378 UN,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,3901
88,L 8159 US / S77,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,2835
90,L 8195 US,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,3565
92,L 8247 US,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,2643
97,L 8293 UQ,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,3387
101,L 8312 UQ,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,4344
106,L 8435 US / S80,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,3789
110,L 8660 UN (EX. L7918MU),TRONTON,FV416,330,40 Feet,BKA,0,0
112,L 8814 UQ,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,2858
113,L 8819 UQ,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,3485
115,L 8854 UQ / S 68,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,4822
116,L 8856 UQ,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,4364
122,L 9025 UT,TRAILER,PKC311,311,40 Feet,DEPO MARUNDA,0,5549
124,L 9048 UT,TRAILER,PKC311,311,40 Feet,DEPO MARUNDA,0,4840
125,L 9049 UN,TRAILER,PKC311,311,40 Feet,DEPO MARUNDA,0,3383
127,L 9049 UR,TRAILER,PKC311,311,40 Feet,DEPO MARUNDA,0,5566
129,L 9052 UR,TRAILER,PKC311,311,40 Feet,DEPO MARUNDA,0,4536
135,L 9064 UR,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,4154
140,L 9067 UQ,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,2574
148,L 9118 UQ,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,2683
155,L 9376 UN,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,4949
161,L 9561 UQ,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,1711
166,L 9583 UQ,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,4676
172,L 9628 US,TRONTON,PK215,220,40 Feet,BKA,0,327.89999999999964
181,L 9743 UR,TRONTON,FU417,240,40 Feet,KAIMANA,85,0
182,L 9902 UR / S75,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,2964
183,L 9958 UQ,TRAILER,QUESTER,280,40 Feet,DEPO MARUNDA,0,3995
184,L9116UQ,TRAILER,PK260,265,40 Feet,DEPO MARUNDA,0,2690
191,MELATI,FORKLIFT,MITSUBISHI,52,3 Ton,BKA,0,545.1
195,ORONG-ORONG,FORKLIFT,KOMATSU,170,10 Ton,BKA,0,135.10000000000002
204,RAJAWALI,FORKLIFT,KOMATSU,55,3 Ton,BKA,0,848.2999999999997
214,SANY KUPP CAB TUAL,REACH STACKER,SANY 450,348,45 Ton,TUAL,0,0
222,SIDE LOUDER BOSS,SIDE LOADER,SL BOSS,190,5 Ton,DEPO YONIF,0,0
225,SOKA,FORKLIFT,DAEWO,45,3 Ton,DEPO MARUNDA,27.79,0
228,TOP LOADER KALMAR 35 T/TOBATI,FORKLIFT,FL KALMAR,280,32 Ton,BIAK,0,379.5
